Title,Company,Location,Apply
"b'SENIOR DATA SCIENTIST - Dubai, UAE'",b'Cobblestone Energy',"b'Melbourne, Victoria, Australia'",b'https://au.linkedin.com/jobs/view/senior-data-scientist-dubai-uae-at-cobblestone-energy-3388517468?refId=0mQLYeYw1r0ZnJ1gnmeyiQ%3D%3D&trackingId=XR8EJxRPSk4U8hUI%2FSx%2BXw%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Python DBT Engineer (1-2)',b'FIRESOFT People',"b'Melbourne, Victoria, Australia'",b'https://au.linkedin.com/jobs/view/python-dbt-engineer-1-2-at-firesoft-people-3308524779?refId=RJgsu04xRWrDLjpCpO0bUw%3D%3D&trackingId=RpZEIiqs6ZVsOO9ED6rFkA%3D%3D&position=25&pageNum=1&trk=public_jobs_jserp-result_search-card'
